text,label
"Authorities confirm navy deployed in Gujarat, casualties feared.",rescue
"Coastal region of Odisha is struggling with sand washed away, widespread damage.",erosion
"Homes in Kerala are please help, #tsunami.",distress
"Authorities confirm heavy rain in Andhra coast, dangerous conditions continue.",heavy_rain
"Urgent: Bay of Bengal experiences tidal wave, #rescue.",tsunami
"Heavy rain causes major disruption in Maldives, casualties feared.",heavy_rain
"Maldives under food packets, rescue teams rushed in.",aid
"Dangerous swell hits Andhra coast, emergency declared.",ocean_conditions
"Urgent: Kerala experiences SOS, widespread damage.",distress
"Mumbai under cloudburst, rescue teams rushed in.",heavy_rain
"Urgent: Andaman Islands experiences swollen tides, casualties feared.",ocean_conditions
"Authorities confirm violent gusts in Andhra coast, situation worsening.",wind
"Coastal region of Mumbai is struggling with coastal flooding, roads blocked.",storm_surge
"Coastal region of Bay of Bengal is struggling with gale force winds, authorities on high alert.",wind
"Urgent: West Bengal experiences hurricane, widespread damage.",cyclone
"Breaking: Tidal wave reported in Maldives, casualties feared.",tsunami
"Flood causes major disruption in Kerala, casualties feared.",flooding
"Coastal region of Chennai is struggling with high tide surge, people stranded.",storm_surge
"Sos causes major disruption in Chennai, breaking news.",distress
Residents report hurricane in West Bengal people stranded.,cyclone
Gujarat faces violent gusts as situation worsening.,wind
"Sand washed away causes major disruption in Bay of Bengal, dangerous conditions continue.",erosion
"Coastal region of Bay of Bengal is struggling with volunteers helping, roads blocked.",relief
"Urgent: West Bengal experiences flash flood, #breaking.",flooding
"Coastal region of Odisha is struggling with cloudburst, widespread damage.",heavy_rain
"Cloudburst hits Gujarat, situation worsening.",heavy_rain
"Violent gusts causes major disruption in Kerala, breaking news.",wind
Residents report nonstop rainfall in Tamil Nadu people stranded.,heavy_rain
"Kerala under mass evacuation, rescue teams rushed in.",evacuation
"Coastal region of Sri Lanka is struggling with volunteers helping, casualties feared.",relief
"Goa under mass evacuation, rescue teams rushed in.",evacuation
Residents report stormy winds in Maldives roads blocked.,wind
"Sea waves crashing inland hits Mumbai, dangerous conditions continue.",storm_surge
Mumbai faces cyclone as breaking news.,cyclone
"Coast guard helping causes major disruption in Maldives, situation worsening.",rescue
"Rescue operations causes major disruption in Chennai, breaking news.",rescue
Residents report villagers relocated in Maldives people stranded.,evacuation
"Homes in Gujarat are sea waves crashing inland, latest update.",storm_surge
"Urgent: Goa experiences shoreline collapse, widespread damage.",erosion
"Coastal region of Tamil Nadu is struggling with dunes destroyed, #staysafe.",erosion
"Sea waves crashing inland causes major disruption in Andaman Islands, latest update.",storm_surge
"Rip currents hits Sri Lanka, latest update.",ocean_conditions
"Coastal region of Kerala is struggling with emergency sheltering, dangerous conditions continue.",evacuation
"Kerala under strong winds, rescue teams rushed in.",wind
"Authorities confirm cloudburst in Sri Lanka, breaking news.",heavy_rain
"Breaking: Food packets reported in Goa, #coastalstorm.",aid
"Homes in Kerala are sand washed away, roads blocked.",erosion
Mumbai faces sand washed away as casualties feared.,erosion
Odisha faces giant wave as authorities on high alert.,tsunami
"Urgent: Odisha experiences SOS, roads blocked.",distress
"Urgent: Bay of Bengal experiences cloudburst, emergency declared.",heavy_rain
Bay of Bengal faces relief camps set up as authorities on high alert.,relief
"Storm surge hits Odisha, authorities on high alert.",storm_surge
"Tsunami hits West Bengal, breaking news.",tsunami
Residents report beach erosion in Andaman Islands #staysafe.,erosion
"Homes in Odisha are hurricane, roads blocked.",cyclone
"Authorities confirm typhoon in Kerala, dangerous conditions continue.",cyclone
"Severe storm hits Sri Lanka, authorities on high alert.",cyclone
Goa faces rescue operations as breaking news.,rescue
Residents report nonstop rainfall in Odisha situation worsening.,heavy_rain
"Homes in Odisha are violent gusts, people stranded.",wind
"Urgent rescue needed causes major disruption in Mumbai, situation worsening.",distress
"Please help hits Goa, situation worsening.",distress
"Breaking: Streets submerged reported in Andhra coast, widespread damage.",flooding
Residents report torrential rain in Tamil Nadu people stranded.,heavy_rain
"Medical aid causes major disruption in West Bengal, breaking news.",aid
"Medical aid hits Maldives, emergency declared.",aid
"Homes in Goa are seawater rushing in, people stranded.",tsunami
Andhra coast faces shoreline collapse as latest update.,erosion
Residents report shoreline collapse in Kerala people stranded.,erosion
"Homes in Odisha are heavy rain, widespread damage.",heavy_rain
"Maldives under swollen tides, rescue teams rushed in.",ocean_conditions
"Authorities confirm strong winds in Chennai, latest update.",wind
"Homes in Tamil Nadu are rescue operations, #rescue.",rescue
"Giant wave hits Gujarat, emergency declared.",tsunami
"Typhoon hits Gujarat, latest update.",cyclone
"Authorities confirm beach erosion in Odisha, dangerous conditions continue.",erosion
Tamil Nadu faces strong winds as authorities on high alert.,wind
"High tide surge causes major disruption in Kolkata, emergency declared.",storm_surge
"Breaking: Seawater rushing in reported in Sri Lanka, widespread damage.",tsunami
Residents report dunes destroyed in Andaman Islands situation worsening.,erosion
"Homes in Chennai are stranded families, #disaster.",distress
"Homes in Odisha are tidal wave, people stranded.",tsunami
"Heavy rain causes major disruption in Odisha, casualties feared.",heavy_rain
"Sea waves crashing inland hits Kerala, casualties feared.",storm_surge
Sri Lanka faces tidal wave as situation worsening.,tsunami
Tamil Nadu faces dangerous swell as breaking news.,ocean_conditions
"Tamil Nadu under swollen tides, rescue teams rushed in.",ocean_conditions
Gujarat faces cyclone as breaking news.,cyclone
"Sri Lanka under donations, rescue teams rushed in.",aid
"Homes in West Bengal are flood, latest update.",flooding
"Flash flood causes major disruption in Maldives, authorities on high alert.",flooding
"Homes in Andhra coast are coast guard helping, widespread damage.",rescue
"Breaking: Inundation reported in Kerala, people stranded.",flooding
"Homes in Chennai are inundation, widespread damage.",flooding
Residents report strong winds in Mumbai emergency declared.,wind
"Authorities confirm food packets in Tamil Nadu, authorities on high alert.",aid
"West Bengal under sand washed away, rescue teams rushed in.",erosion
Kerala faces strong winds as casualties feared.,wind
"Urgent: Gujarat experiences rough seas, #tsunami.",ocean_conditions
Residents report clean water in Kerala roads blocked.,aid
"Breaking: Nonstop rainfall reported in Chennai, people stranded.",heavy_rain
"Urgent: West Bengal experiences navy deployed, widespread damage.",rescue
"Coastal region of Kerala is struggling with violent gusts, people stranded.",wind
"Urgent: Odisha experiences tidal wave, widespread damage.",tsunami
"Homes in Mumbai are urgent rescue needed, widespread damage.",distress
"Homes in Maldives are stormy winds, #staysafe.",wind
"Homes in Kolkata are donations, people stranded.",aid
"Breaking: Mass evacuation reported in Chennai, people stranded.",evacuation
"Urgent: Chennai experiences coastal flooding, people stranded.",storm_surge
"Homes in Gujarat are nonstop rainfall, dangerous conditions continue.",heavy_rain
Mumbai faces relief camps set up as latest update.,relief
"Urgent: Andaman Islands experiences medical aid, roads blocked.",aid
"Urgent: Tamil Nadu experiences people moved to shelters, widespread damage.",evacuation
"Stormy winds causes major disruption in Kerala, emergency declared.",wind
"Waterlogging causes major disruption in Andaman Islands, latest update.",flooding
"Urgent: West Bengal experiences helicopter rescue, people stranded.",rescue
Residents report seawater rushing in in Kolkata casualties feared.,tsunami
"Homes in Bay of Bengal are stranded families, widespread damage.",distress
"West Bengal under streets submerged, rescue teams rushed in.",flooding
"Dangerous swell hits Kolkata, dangerous conditions continue.",ocean_conditions
"Homes in Andaman Islands are please help, widespread damage.",distress
"Coastal region of Maldives is struggling with people moved to shelters, emergency declared.",evacuation
"Kolkata under emergency kitchens, rescue teams rushed in.",relief
"Authorities confirm dunes destroyed in Chennai, casualties feared.",erosion
Residents report volunteers helping in Tamil Nadu roads blocked.,relief
"Coastal region of Sri Lanka is struggling with seawater rushing in, breaking news.",tsunami
"Emergency sheltering causes major disruption in Kolkata, situation worsening.",evacuation
"Breaking: Cloudburst reported in Sri Lanka, #prayforcoast.",heavy_rain
Residents report strong winds in Kerala #rescue.,wind
Residents report sand washed away in Mumbai roads blocked.,erosion
"Breaking: Sand washed away reported in Mumbai, latest update.",erosion
Chennai faces waterlogging as situation worsening.,flooding
"Waterlogging hits Bay of Bengal, breaking news.",flooding
"Breaking: Violent gusts reported in Mumbai, people stranded.",wind
"Coastal region of West Bengal is struggling with helicopter rescue, #prayforcoast.",rescue
"Giant wave causes major disruption in Bay of Bengal, breaking news.",tsunami
"Heavy rain hits Gujarat, emergency declared.",heavy_rain
"Breaking: Urgent rescue needed reported in Goa, roads blocked.",distress
"Homes in Kerala are nonstop rainfall, #breaking.",heavy_rain
"Kolkata under villagers relocated, rescue teams rushed in.",evacuation
"West Bengal under emergency kitchens, rescue teams rushed in.",relief
"Urgent: Sri Lanka experiences SOS, roads blocked.",distress
"Urgent rescue needed causes major disruption in Bay of Bengal, casualties feared.",distress
"Breaking: Gale force winds reported in Andaman Islands, authorities on high alert.",wind
"Authorities confirm rip currents in Mumbai, casualties feared.",ocean_conditions
"Coastal region of Andhra coast is struggling with sand washed away, widespread damage.",erosion
"Coastal region of Andhra coast is struggling with tsunami, dangerous conditions continue.",tsunami
"Emergency sheltering causes major disruption in Odisha, latest update.",evacuation
West Bengal faces helicopter rescue as casualties feared.,rescue
"Authorities confirm stormy winds in Andaman Islands, dangerous conditions continue.",wind
"Waterlogging causes major disruption in Sri Lanka, emergency declared.",flooding
"Urgent rescue needed hits Kerala, situation worsening.",distress
"Sri Lanka under swollen tides, rescue teams rushed in.",ocean_conditions
"Andaman Islands under emergency sheltering, rescue teams rushed in.",evacuation
Kerala faces cloudburst as breaking news.,heavy_rain
"Urgent: Odisha experiences flash flood, roads blocked.",flooding
"Odisha under rescue operations, rescue teams rushed in.",rescue
"Storm surge hits Gujarat, latest update.",storm_surge
"Coastal region of Chennai is struggling with rough seas, roads blocked.",ocean_conditions
Maldives faces flood as casualties feared.,flooding
"Maldives under relief supplies, rescue teams rushed in.",aid
"Urgent: Bay of Bengal experiences SOS, roads blocked.",distress
"Breaking: Giant wave reported in Chennai, roads blocked.",tsunami
Goa faces coastal flooding as latest update.,storm_surge
Andhra coast faces cyclone as authorities on high alert.,cyclone
"Homes in Mumbai are people moved to shelters, casualties feared.",evacuation
"Distribution of aid hits Andhra coast, authorities on high alert.",relief
"Rescue operations hits Kolkata, authorities on high alert.",rescue
"Odisha under people moved to shelters, rescue teams rushed in.",evacuation
"Authorities confirm volunteers helping in Maldives, casualties feared.",relief
Residents report violent gusts in Goa people stranded.,wind
"Rough seas causes major disruption in Goa, authorities on high alert.",ocean_conditions
"Streets submerged causes major disruption in Odisha, authorities on high alert.",flooding
"Breaking: Cyclone reported in West Bengal, breaking news.",cyclone
"People moved to shelters hits Gujarat, dangerous conditions continue.",evacuation
"Coastal region of Andaman Islands is struggling with SOS, people stranded.",distress
Kerala faces flash flood as authorities on high alert.,flooding
"Cloudburst hits Odisha, breaking news.",heavy_rain
"Urgent: Sri Lanka experiences distribution of aid, roads blocked.",relief
"Homes in Andhra coast are emergency sheltering, people stranded.",evacuation
"Urgent: Sri Lanka experiences villagers relocated, #breaking.",evacuation
"Sea waves crashing inland causes major disruption in Maldives, latest update.",storm_surge
"Hurricane causes major disruption in Gujarat, breaking news.",cyclone
"Sri Lanka under urgent rescue needed, rescue teams rushed in.",distress
"Homes in Chennai are dangerous swell, people stranded.",ocean_conditions
"Authorities confirm medical aid in Bay of Bengal, casualties feared.",aid
Sri Lanka faces villagers relocated as authorities on high alert.,evacuation
"Coastal region of Kerala is struggling with urgent rescue needed, people stranded.",distress
"Authorities confirm tsunami in Tamil Nadu, situation worsening.",tsunami
"Coastal region of Tamil Nadu is struggling with urgent rescue needed, #floods.",distress
"Homes in Kerala are distribution of aid, roads blocked.",relief
Gujarat faces donations as emergency declared.,aid
"Violent gusts hits Andaman Islands, breaking news.",wind
"Coastal region of Bay of Bengal is struggling with typhoon, roads blocked.",cyclone
Tamil Nadu faces dangerous swell as authorities on high alert.,ocean_conditions
"Breaking: Relief camps set up reported in Kerala, widespread damage.",relief
"Homes in Maldives are waterlogging, roads blocked.",flooding
"Homes in Chennai are beach erosion, roads blocked.",erosion
"Homes in Andaman Islands are heavy rain, people stranded.",heavy_rain
"Urgent: Sri Lanka experiences navy deployed, widespread damage.",rescue
"Andhra coast under rescue operations, rescue teams rushed in.",rescue
"Homes in Mumbai are violent gusts, widespread damage.",wind
"Dangerous swell hits Kolkata, emergency declared.",ocean_conditions
"Breaking: Please help reported in Maldives, people stranded.",distress
Residents report violent gusts in Andaman Islands people stranded.,wind
"Tamil Nadu under dangerous swell, rescue teams rushed in.",ocean_conditions
"Beach erosion causes major disruption in Bay of Bengal, dangerous conditions continue.",erosion
"Swollen tides hits Kolkata, situation worsening.",ocean_conditions
"Coastal flooding hits Andhra coast, latest update.",storm_surge
Residents report sand washed away in Odisha widespread damage.,erosion
"Homes in Gujarat are swollen tides, #breaking.",ocean_conditions
"Coastal region of Tamil Nadu is struggling with typhoon, latest update.",cyclone
"Mumbai under heavy rain, rescue teams rushed in.",heavy_rain
"Coastal region of Odisha is struggling with coast guard helping, people stranded.",rescue
"Coastal region of Maldives is struggling with relief camps set up, widespread damage.",relief
"Urgent: Bay of Bengal experiences tsunami, #alert.",tsunami
"Sri Lanka under swollen tides, rescue teams rushed in.",ocean_conditions
"Homes in Odisha are sand washed away, authorities on high alert.",erosion
"Flash flood hits Kolkata, breaking news.",flooding
"Urgent: Goa experiences shoreline collapse, roads blocked.",erosion
"Rescue operations hits Sri Lanka, emergency declared.",rescue
"Coastal region of Andaman Islands is struggling with storm surge, widespread damage.",storm_surge
"Bay of Bengal under high tide surge, rescue teams rushed in.",storm_surge
Residents report please help in Tamil Nadu #prayforcoast.,distress
Andhra coast faces sand washed away as latest update.,erosion
"Urgent: Andhra coast experiences high tide surge, dangerous conditions continue.",storm_surge
"Goa under donations, rescue teams rushed in.",aid
"Please help causes major disruption in West Bengal, latest update.",distress
"Homes in Tamil Nadu are navy deployed, authorities on high alert.",rescue
Bay of Bengal faces stranded families as situation worsening.,distress
"Sea waves crashing inland causes major disruption in Gujarat, dangerous conditions continue.",storm_surge
"Homes in Bay of Bengal are medical aid, people stranded.",aid
"Urgent: Andaman Islands experiences helicopter rescue, roads blocked.",rescue
"Gale force winds hits Chennai, authorities on high alert.",wind
"Authorities confirm dangerous swell in Andaman Islands, casualties feared.",ocean_conditions
Residents report coast guard helping in Gujarat casualties feared.,rescue
Odisha faces giant wave as authorities on high alert.,tsunami
"Waterlogging hits Sri Lanka, situation worsening.",flooding
"Homes in Andhra coast are flash flood, people stranded.",flooding
Residents report flash flood in Bay of Bengal #tsunami.,flooding
"Homes in Mumbai are strong winds, authorities on high alert.",wind
"Urgent: Andhra coast experiences relief camps set up, roads blocked.",relief
"Goa under navy deployed, rescue teams rushed in.",rescue
"Inundation causes major disruption in Maldives, breaking news.",flooding
"Homes in West Bengal are food packets, breaking news.",aid
"Tidal wave hits Mumbai, casualties feared.",tsunami
"Breaking: Flood reported in Mumbai, roads blocked.",flooding
Bay of Bengal faces emergency kitchens as situation worsening.,relief
Kerala faces giant wave as emergency declared.,tsunami
"Swollen tides causes major disruption in Kolkata, latest update.",ocean_conditions
"Dunes destroyed hits Andhra coast, casualties feared.",erosion
"Coastal region of Kerala is struggling with emergency kitchens, roads blocked.",relief
"Homes in Andaman Islands are please help, #disaster.",distress
"Authorities confirm flood in Andaman Islands, emergency declared.",flooding
"Urgent: Gujarat experiences urgent rescue needed, roads blocked.",distress
"Authorities confirm storm surge in Sri Lanka, breaking news.",storm_surge
"Homes in Sri Lanka are medical aid, people stranded.",aid
"Goa under coastal flooding, rescue teams rushed in.",storm_surge
Residents report coast guard helping in Kolkata #cyclone.,rescue
"Authorities confirm beach erosion in Kolkata, emergency declared.",erosion
"High tide surge hits Andaman Islands, breaking news.",storm_surge
Andhra coast faces SOS as authorities on high alert.,distress
"Urgent rescue needed hits Goa, casualties feared.",distress
"Homes in Bay of Bengal are streets submerged, people stranded.",flooding
"Coastal region of Kerala is struggling with rip currents, widespread damage.",ocean_conditions
"Coastal region of Kolkata is struggling with flood, widespread damage.",flooding
"Homes in Gujarat are storm surge, #tsunami.",storm_surge
Andhra coast faces relief supplies as latest update.,aid
"Breaking: Emergency kitchens reported in Mumbai, #breaking.",relief
"Authorities confirm swollen tides in Sri Lanka, breaking news.",ocean_conditions
"Coastal region of Sri Lanka is struggling with helicopter rescue, casualties feared.",rescue
"Homes in Sri Lanka are flash flood, roads blocked.",flooding
"Authorities confirm nonstop rainfall in Maldives, casualties feared.",heavy_rain
"Authorities confirm flood in Andhra coast, situation worsening.",flooding
"Coastal region of Gujarat is struggling with stormy winds, people stranded.",wind
"Kerala under navy deployed, rescue teams rushed in.",rescue
"Shoreline collapse causes major disruption in Mumbai, emergency declared.",erosion
Tamil Nadu faces coast guard helping as breaking news.,rescue
"Authorities confirm rescue operations in Sri Lanka, situation worsening.",rescue
"Urgent: Maldives experiences tropical depression, people stranded.",cyclone
Residents report dunes destroyed in Sri Lanka people stranded.,erosion
"Kerala under coast guard helping, rescue teams rushed in.",rescue
"Urgent: Andaman Islands experiences coastal flooding, people stranded.",storm_surge
"Goa under urgent rescue needed, rescue teams rushed in.",distress
"Breaking: Sea waves crashing inland reported in Goa, widespread damage.",storm_surge
Residents report swollen tides in Kolkata widespread damage.,ocean_conditions
"Authorities confirm streets submerged in Andaman Islands, emergency declared.",flooding
"Breaking: Urgent rescue needed reported in Mumbai, people stranded.",distress
"Coastal region of Andaman Islands is struggling with high tide surge, casualties feared.",storm_surge
"Authorities confirm shoreline collapse in Chennai, situation worsening.",erosion
"Coastal region of Andhra coast is struggling with helicopter rescue, #coastalstorm.",rescue
"Authorities confirm urgent rescue needed in Gujarat, breaking news.",distress
"Breaking: Tsunami reported in Kolkata, roads blocked.",tsunami
Bay of Bengal faces high tide surge as latest update.,storm_surge
"Cyclone hits Chennai, situation worsening.",cyclone
"Coastal region of Bay of Bengal is struggling with emergency kitchens, breaking news.",relief
"Urgent: Andhra coast experiences sea waves crashing inland, people stranded.",storm_surge
"Homes in Maldives are shoreline collapse, roads blocked.",erosion
"Chennai under inundation, rescue teams rushed in.",flooding
"Kerala under rough seas, rescue teams rushed in.",ocean_conditions
"Urgent: Chennai experiences stranded families, emergency declared.",distress
"Authorities confirm tidal wave in Chennai, authorities on high alert.",tsunami
"High tide surge causes major disruption in Kolkata, breaking news.",storm_surge
"Urgent: Chennai experiences severe storm, widespread damage.",cyclone
"Tamil Nadu under sand washed away, rescue teams rushed in.",erosion
"Shoreline collapse hits Sri Lanka, latest update.",erosion
"Breaking: Tsunami reported in West Bengal, #rescue.",tsunami
Residents report mass evacuation in Chennai roads blocked.,evacuation
Gujarat faces food packets as emergency declared.,aid
"Gale force winds causes major disruption in Goa, latest update.",wind
"Homes in Andaman Islands are strong winds, roads blocked.",wind
"Coastal region of Kolkata is struggling with sea waves crashing inland, people stranded.",storm_surge
"Sand washed away hits Andaman Islands, dangerous conditions continue.",erosion
Residents report coast guard helping in Gujarat situation worsening.,rescue
"Authorities confirm tsunami in Kolkata, breaking news.",tsunami
Chennai faces cloudburst as emergency declared.,heavy_rain
"Urgent: Tamil Nadu experiences sea waves crashing inland, authorities on high alert.",storm_surge
"Homes in Gujarat are sand washed away, situation worsening.",erosion
"Urgent: Kolkata experiences cloudburst, people stranded.",heavy_rain
"Maldives under donations, rescue teams rushed in.",aid
Residents report helicopter rescue in Odisha widespread damage.,rescue
"Coastal region of Andhra coast is struggling with nonstop rainfall, roads blocked.",heavy_rain
"Medical aid causes major disruption in Tamil Nadu, breaking news.",aid
"Cloudburst causes major disruption in Bay of Bengal, situation worsening.",heavy_rain
"Coastal region of Bay of Bengal is struggling with emergency sheltering, widespread damage.",evacuation
Chennai faces inundation as emergency declared.,flooding
"Coastal region of West Bengal is struggling with tropical depression, widespread damage.",cyclone
"Authorities confirm giant wave in West Bengal, breaking news.",tsunami
"Swollen tides hits Tamil Nadu, casualties feared.",ocean_conditions
"Urgent: Maldives experiences waterlogging, roads blocked.",flooding
"Homes in Sri Lanka are gale force winds, #staysafe.",wind
"Urgent: West Bengal experiences flood, roads blocked.",flooding
"Beach erosion causes major disruption in Mumbai, casualties feared.",erosion
"Mass evacuation causes major disruption in West Bengal, latest update.",evacuation
"Coastal region of Andhra coast is struggling with food packets, people stranded.",aid
"Seawater rushing in causes major disruption in Mumbai, dangerous conditions continue.",tsunami
"Emergency sheltering hits Andaman Islands, authorities on high alert.",evacuation
"Homes in Sri Lanka are shoreline collapse, breaking news.",erosion
Residents report relief supplies in Sri Lanka #coastalstorm.,aid
"Authorities confirm coast guard helping in Chennai, breaking news.",rescue
"Breaking: Rip currents reported in Sri Lanka, widespread damage.",ocean_conditions
"Authorities confirm inundation in Kerala, authorities on high alert.",flooding
"Urgent: Gujarat experiences rip currents, emergency declared.",ocean_conditions
"Homes in Tamil Nadu are rough seas, widespread damage.",ocean_conditions
Residents report tropical depression in West Bengal roads blocked.,cyclone
"Coastal region of Gujarat is struggling with relief supplies, #staysafe.",aid
"Relief supplies causes major disruption in Goa, breaking news.",aid
Residents report waterlogging in West Bengal widespread damage.,flooding
"Authorities confirm urgent rescue needed in Mumbai, latest update.",distress
